Image,Software,Last updated
CCM1,"7-zip, Adobe Creative Cloud, Adobe Web Premium, iTunes, Autodesk Infrastructure Design Suite, CrazyBump, DivX, FRAPS, GIMP, InfraRecorder, KeyVerify, Maxon CINEMA 4D Broadcast, Microsoft Office, Microsoft Paint, Microsoft Project, Microsoft SQL Server 2008, Microsoft SQL Server 2012, Microsoft Visio, Microsoft Visual Studio 2010, Microsoft Visual Studio 2013, Notepad++, Piriform CCleaner 5, Putty SSH, Quicken, Steam, Unity 3d",02/04/16
CCM2,"7-zip, Adobe Creative Cloud, Adobe Web Premium, iTunes, Autodesk Infrastructure Design Suite, CrazyBump, DivX, FRAPS, GIMP, InfraRecorder, KeyVerify, Maxon CINEMA 4D Broadcast, Microsoft Office, Microsoft Paint, Microsoft SQL Server 2008, Microsoft SQL Server 2012, Microsoft Visio 2013, Microsoft Visual Studio 2010, Microsoft Visual Studio 2013, Notepad++, Piriform CCleaner 5, Putty SSH, Quicken, Steam, Unity 3d",02/04/16
CCMM,"Adobe Creative Cloud, Arduino, Brackets, Canon Utilities, Stickies, Fontographer, iBooks, iMovie, Keynote, Logic Pro X, Microsoft Office, Numbers, Pages, VueScan, Xcode, VLC Player",02/04/16
FOST1,"7-zip, AccessData Forensic Toolkit, Adobe Creative Cloud, Adobe Web Premium, iTunes, CrazyBump, CyberLink Power2Go 8, CyberLink PowerDirector 10, DivX, Encase, FRAPS, GIMP, InfraRecorder, KeyVerify, Maxon CINEMA 4D Broadcast, Microsoft Paint, Microsoft Project, Microsoft SQL Server 2012, Microsoft Visual Studio 2010, Microsoft Visual Studio 2013, Notepad++, Piriform CCleaner 5, Putty SSH, Quicken, VMware Player, VMware Server, VMware Workstation",02/04/16
FOSTM,"Arduino, Adobe Creative Cloud, GarageBand, iChat, iMovie, iTunes, iWork, Logic Pro Suite, Xcode, Maxon CINEMA 4D Visualize, Microsoft Office, VLC Player",02/04/16
FOST4,"7-zip, Adobe Creative Cloud, Adobe Web Premium, iTunes, Autodesk Infrastructure Design Suite, CrazyBump, DivX, FRAPS, GIMP, InfraRecorder, KeyVerify, MATLAB, Maxon CINEMA 4D Broadcast, Microsoft Office, Microsoft Paint, Microsoft Project, Microsoft SQL Server 2008, Microsoft SQL Server 2012, Microsoft Visio, Microsoft Visual Studio 2010, Microsoft Visual Studio 2013, Notepad++, Piriform CCleaner 5, Putty SSH, Quicken, Steam, Unity 3d",02/04/16
FREE,"7-zip, Adobe Creative Suite, Adobe Design Premium, iTunes, DivX, GIMP, Graphical Analysis, InfraRecorder, KeyVerify, Microsoft Office, Microsoft Paint, Microsoft Project, Microsoft SQL Server 2012, Microsoft Visio, Notepad++, Piriform CCleaner 4, Putty SSH, VLC Player",02/04/16
IRELM,"Arduino, Adobe Creative Cloud, GarageBand, iChat, iMovie, iTunes, iWork, Logic Pro Suite, Xcode, Maxon CINEMA 4D Visualize, VLC Player",02/04/16
IRELC,"7-zip, Adobe Creative Cloud, Adobe Web Premium, iTunes, CrazyBump, DivX, FRAPS, GIMP, IBM SPS Statistics, InfraRecorder, KeyVerify, Maxon CINEMA 4D Broadcast, Microsoft Office, Microsoft Paint, Microsoft Project, Microsoft SQL Server 2008, Microsoft SQL Server 2012, Microsoft Visio, Microsoft Visual Studio 2010, Microsoft Visual Studio 2013, Notepad++, Piriform CCleaner 5, Putty SSH",02/04/16
MIC2,"7-zip, Adobe Creative Cloud, Adobe Web Premium, iTunes, CrazyBump, DivX, FRAPS, GIMP, IBM SPSS Statistics, InfraRecorder, KeyVerify, MATLAB, Maxon CINEMA 4D Broadcast, Microsoft Office, Microsoft Paint, Microsoft Project 2013 Win, Microsoft SQL Server 2008, Microsoft SQL Server 2012, Microsoft Visio, Microsoft Visual Studio 2010, Microsoft Visual Studio 2013, Notepad++, Piriform CCleaner 5, Putty SSH",02/04/16
