Name0,Name1,Count Details0
CCM 001,7-zip,25
CCM 001,Adobe Creative Cloud 2014,24
CCM 001,Adobe Creative Cloud 2015,25
CCM 001,Adobe Creative Cloud CS6 + 2013,25
CCM 001,Adobe Web Premium,25
CCM 001,All non MS browsers,25
CCM 001,Apple iTunes,25
CCM 001,Autodesk Infrastructure Design Suite Standard 2015,25
CCM 001,CrazyBump,25
CCM 001,DivX,25
CCM 001,ESET Antivirus,25
CCM 001,ESET NOD32 Antivirus 5 Win,25
CCM 001,FRAPS,25
CCM 001,GIMP,25
CCM 001,InfraRecorder,25
CCM 001,KeyVerify,25
CCM 001,Maxon CINEMA 4D Broadcast R16 Win,25
CCM 001,Microsoft Office,25
CCM 001,Microsoft Office 2013 Professional Plus Win,25
CCM 001,Microsoft Paint,25
CCM 001,Microsoft Project 2013 Win,25
CCM 001,Microsoft SQL Server 2008 Express Edition,25
CCM 001,Microsoft SQL Server 2012 Unknown Edition,25
CCM 001,Microsoft Visio 2013 Win,25
CCM 001,Microsoft Visual Studio 2010 Professional Edition,25
CCM 001,Microsoft Visual Studio 2013 Professional Edition,25
CCM 001,Microsoft Windows 7 Enterprise,25
CCM 001,Notepad++,25
CCM 001,Piriform CCleaner 5,25
CCM 001,Putty SSH,25
CCM 001,Quicken,25
CCM 001,Unity 3d,25
CCM 222,7-zip,31
CCM 222,Adobe Creative Cloud 2014,31
CCM 222,Adobe Creative Cloud 2015,31
CCM 222,Adobe Creative Cloud CS6 + 2013,27
CCM 222,Adobe Web Premium,31
CCM 222,All non MS browsers,31
CCM 222,Apple iTunes,31
CCM 222,Autodesk Infrastructure Design Suite Standard 2015,31
CCM 222,CrazyBump,31
CCM 222,DivX,31
CCM 222,ESET Antivirus,31
CCM 222,ESET NOD32 Antivirus 5 Win,31
CCM 222,FRAPS,31
CCM 222,GIMP,31
CCM 222,InfraRecorder,31
CCM 222,KeyVerify,31
CCM 222,Maxon CINEMA 4D Broadcast R16 Win,31
CCM 222,Microsoft Office,31
CCM 222,Microsoft Office 2013 Professional Plus Win,31
CCM 222,Microsoft Paint,31
CCM 222,Microsoft SQL Server 2008 Express Edition,31
CCM 222,Microsoft SQL Server 2012 Unknown Edition,31
CCM 222,Microsoft Visio 2013 Win,31
CCM 222,Microsoft Visual Studio 2010 Professional Edition,31
CCM 222,Microsoft Visual Studio 2013 Professional Edition,30
CCM 222,Microsoft Windows 7 Enterprise,31
CCM 222,Notepad++,31
CCM 222,Piriform CCleaner 5,31
CCM 222,Putty SSH,31
CCM 222,Quicken,31
CCM 222,Unity 3d,31
CCM 224,7-zip,25
CCM 224,Adobe Creative Cloud 2014,25
CCM 224,Adobe Creative Cloud 2015,25
CCM 224,Adobe Creative Cloud CS6 + 2013,25
CCM 224,Adobe Web Premium,25
CCM 224,All non MS browsers,25
CCM 224,Apple iTunes,25
CCM 224,Autodesk Infrastructure Design Suite Standard 2015,25
CCM 224,CrazyBump,25
CCM 224,DivX,25
CCM 224,ESET Antivirus,25
CCM 224,ESET NOD32 Antivirus 5 Win,25
CCM 224,FRAPS,25
CCM 224,GIMP,25
CCM 224,InfraRecorder,25
CCM 224,KeyVerify,25
CCM 224,Maxon CINEMA 4D Broadcast R16 Win,25
CCM 224,Microsoft Office,25
CCM 224,Microsoft Office 2013 Professional Plus Win,25
CCM 224,Microsoft Paint,25
CCM 224,Microsoft Project 2013 Win,25
CCM 224,Microsoft SQL Server 2008 Express Edition,25
CCM 224,Microsoft SQL Server 2012 Unknown Edition,25
CCM 224,Microsoft Visio 2013 Win,25
CCM 224,Microsoft Visual Studio 2010 Professional Edition,25
CCM 224,Microsoft Visual Studio 2013 Professional Edition,25
CCM 224,Microsoft Windows 7 Enterprise,25
CCM 224,Notepad++,25
CCM 224,Piriform CCleaner 5,25
CCM 224,Putty SSH,25
CCM 224,Quicken,25
CCM 224,Steam,21
CCM 224,Unity 3d,25
Foster 100,7-zip,22
Foster 100,AccessData Forensic Toolkit 5,18
Foster 100,Adobe Creative Cloud 2014,22
Foster 100,Adobe Creative Cloud 2015,22
Foster 100,Adobe Creative Cloud CS6 + 2013,22
Foster 100,Adobe Web Premium,20
Foster 100,All non MS browsers,22
Foster 100,Apple iTunes,22
Foster 100,CrazyBump,22
Foster 100,CyberLink Power2Go 8,19
Foster 100,CyberLink PowerDirector 10,19
Foster 100,DivX,22
Foster 100,Encase,19
Foster 100,ESET Antivirus,18
Foster 100,ESET NOD32 Antivirus 5 Win,18
Foster 100,FRAPS,21
Foster 100,GIMP,22
Foster 100,InfraRecorder,22
Foster 100,KeyVerify,22
Foster 100,Maxon CINEMA 4D Broadcast R16 Win,22
Foster 100,Microsoft Office,22
Foster 100,Microsoft Office 2013 Professional Plus Win,22
Foster 100,Microsoft Paint,22
Foster 100,Microsoft Project 2013 Win,22
Foster 100,Microsoft SQL Server 2008 Express Edition,22
Foster 100,Microsoft SQL Server 2012 Unknown Edition,22
Foster 100,Microsoft Visio 2013 Win,22
Foster 100,Microsoft Visual Studio 2010 Professional Edition,22
Foster 100,Microsoft Visual Studio 2013 Professional Edition,22
Foster 100,Microsoft Windows 7 Enterprise,22
Foster 100,Notepad++,22
